Activity,Year,Domestic day,Domestic night,International,Domestic day total,Domestic night total,International total
Visit national parks / state parks,2008,0.41,0.47,0.66,1394000,6147600,8454600
Visit national parks / state parks,2009,0.44,0.46,0.66,1421200,5947800,8415000
Visit national parks / state parks,2010,0.42,0.48,0.66,1415400,6177600,9266400
Visit national parks / state parks,2011,0.42,0.48,0.63,1386000,6283200,7931700
Visit national parks / state parks,2012,0.44,0.47,0.65,1500400,6382600,9165000
Visit national parks / state parks,2013,0.46,0.48,0.65,1692800,7488000,10829000
Visit national parks / state parks,2014,0.44,0.49,0.65,1795200,8055600,10400000
Visit national parks / state parks,2015,0.44,0.49,0.66,1966800,8888600,12553200
Bushwalking / rainforest walks ,2008,0.37,0.51,0.37,1258000,6670800,4739700
Bushwalking / rainforest walks ,2009,0.36,0.49,0.38,1162800,6335700,4845000
Bushwalking / rainforest walks ,2010,0.39,0.49,0.38,1314300,6306300,5335200
Bushwalking / rainforest walks ,2011,0.37,0.51,0.35,1221000,6675900,4406500
Bushwalking / rainforest walks ,2012,0.38,0.51,0.35,1295800,6925800,4935000
Bushwalking / rainforest walks ,2013,0.38,0.5,0.35,1398400,7800000,5831000
Bushwalking / rainforest walks ,2014,0.39,0.5,0.33,1591200,8220000,5280000
Bushwalking / rainforest walks ,2015,0.42,0.53,0.33,1877400,9614200,6276600
Visit botanical or other public gardens,2008,0.27,0.2,0.56,918000,2616000,7173600
Visit botanical or other public gardens,2009,0.24,0.18,0.56,775200,2327400,7140000
Visit botanical or other public gardens,2010,0.24,0.18,0.56,808800,2316600,7862400
Visit botanical or other public gardens,2011,0.23,0.15,0.52,759000,1963500,6546800
Visit botanical or other public gardens,2012,0.26,0.19,0.55,886600,2580200,7755000
Visit botanical or other public gardens,2013,0.23,0.19,0.55,846400,2964000,9163000
Visit botanical or other public gardens,2014,0.25,0.2,0.57,1020000,3288000,9120000
Visit botanical or other public gardens,2015,0.27,0.2,0.61,1206900,3628000,11602200
Visit wildlife parks / zoos / aquariums,2008,0.14,0.15,0.59,476000,1962000,7557900
Visit wildlife parks / zoos / aquariums,2009,0.14,0.17,0.58,452200,2198100,7395000
Visit wildlife parks / zoos / aquariums,2010,0.13,0.16,0.56,438100,2059200,7862400
Visit wildlife parks / zoos / aquariums,2011,0.14,0.15,0.53,462000,1963500,6672700
Visit wildlife parks / zoos / aquariums,2012,0.11,0.15,0.53,375100,2037000,7473000
Visit wildlife parks / zoos / aquariums,2013,0.13,0.14,0.53,478400,2184000,8829800
Visit wildlife parks / zoos / aquariums,2014,0.12,0.13,0.53,489600,2137200,8480000
Visit wildlife parks / zoos / aquariums,2015,0.08,0.11,0.52,357600,1995400,9890400
Snorkelling,2008,0.01,0.04,0.19,34000,523200,2433900
Snorkelling,2009,0.02,0.05,0.18,64600,646500,2295000
Snorkelling,2010,0.01,0.05,0.17,33700,643500,2386800
Snorkelling,2011,0.01,0.04,0.15,33000,523600,1888500
Snorkelling,2012,0.01,0.03,0.16,34100,407400,2256000
Snorkelling,2013,0.01,0.04,0.15,36800,624000,2499000
Snorkelling,2014,0.01,0.03,0.14,40800,493200,2240000
Snorkelling,2015,0.01,0.03,0.14,44700,544200,2662800
Go whale or dolphin watching,2008,0.02,0.03,0.13,68000,392400,1665300
Go whale or dolphin watching,2009,0.03,0.04,0.13,96900,517200,1657500
Go whale or dolphin watching,2010,0.01,0.03,0.12,33700,386100,1684800
Go whale or dolphin watching,2011,0.02,0.03,0.11,66000,392700,1384900
Go whale or dolphin watching,2012,0.01,0.03,0.13,34100,407400,1833000
Go whale or dolphin watching,2013,0.02,0.03,0.14,73600,468000,2332400
Go whale or dolphin watching,2014,0.01,0.02,0.13,40800,328800,2080000
Go whale or dolphin watching,2015,0.02,0.02,0.12,89400,362800,2282400
Scuba diving,2008,0,0.01,0.07,0,130800,896700
Scuba diving,2009,0.01,0.01,0.08,32300,129300,1020000
Scuba diving,2010,0.01,0.01,0.08,33700,128700,1123200
Scuba diving,2011,0,0.01,0.06,0,130900,755400
Scuba diving,2012,0.01,0.01,0.07,34100,135800,987000
Scuba diving,2013,0.01,0.01,0.07,36800,156000,1166200
Scuba diving,2014,0.01,0.01,0.07,40800,164400,1120000
Scuba diving,2015,0.01,0.01,0.07,44700,181400,1331400
