FAC_TYPE,VERS_DATE,SERIAL_NO,NAME,LATITUDE,LONGITUDE,SITE_CLASS,WILDERNESS,DIS_ACCESS,ACCESS_DSC,FEE,COMMENTS,MAINT_BY,LABEL,ACT_CODE,FAC_CODE,PUBLISHED,CLOS_STAT,CLOS_DESC,CLOS_START,CLOS_OPEN,CLOS_REAS,DAY_ACTIVITIES,OVERNIGHT,CAMPING,CAMPING_C,CAMPING_R,CAMPERVANG,CAMPERVANC,CAMPERVANT,CAMPVANR,TB_VISITOR,TBVA_C,TBVA_R,HERITAGE,HERITAGE_C,HERITAGE_R,FISHING,FISHING_C,FISHING_R,FOSSICKING,FOSSICK_C,FOSSICK_R,HANG_GLIDE,HANG_GLD_C,HANG_GLD_R,HORSE_RIDE,HORSERIDEC,HORSERIDER,PADDLING,PADDLING_C,PADDLING_R,PICNICING,PICNIC_C,PICNICINGR,REDUCE_NA,REDUCE_C,REDUCE_R,ROCKCLIMB,ROCKCLMB_C,ROCKCLIMBR,TREE_VIEW,TREEVIEW_C,TREEVIEW_R,WALKINGDOG,WALKDOG_C,WALKDOG_R,WILDLIFE,WILDLIFE_C,WILDLIFE_R,PCT_AFRAME,PCT_PEDEST,PCT_OTHER,BBQ_ELEC,BBQ_PIT,BBQ_GAS,BBQ_WOOD,IS_PART_OF,PHOTO_ID_1,PHOTO_ID_2,PHOTO_ID_3,SDE_DATE,Y_COORD,X_COORD,ALTER_DATE,ENTITY_ID,UFI
REC SITES,25/9/21,2574,Henrys Campsite,-37.322101,142.041757,VERY BASIC,,NONE,"To access Henrys Campsite, take the Henty Hwy north out of Cavendish for approximately 27 km and turn left into Gartons Rd which then heads west 13 km into the the site.",,"Situated on the south eastern shores of Rocklands Reservoir, Henrys Campsite is situated in yellow and red gum open forest.  The campsite is generally accessible all year round by 4WD.",CAVENDISH,Henrys Campsite,WCU,,Y,,,,,,Fishing Allowed,Camping and Campervan,Y,"With ample space for large and small groups, this site offers a more remote feel for those individuals or groups wanting that self sufficient experience.",1,Y,"With plenty of space available for caravans and camper vans, this site offers a more remote feel for those wishing to have that self sufficient experience.",SMALL CARAVAN,3,,,0,,,0,Y,"Easy access to the banks of Rocklands Reservoir provide keen anglers with a myriad of options to try their luck. Best suited to those who wish to enjoy a more remote, or self sufficient site.",4,,,0,,,0,,,0,,,0,Y,"With not a lot of day visitor facilities, this site offers a terrific experience for those willing to journey into a more remote feeling site. Being a bit more self-sufficient by bringing a table and chairs may help you enjoy the best of what this site h",2,,,0,,,0,,,0,,,0,,,0,,,,,,,,,121397,121398,121399,25/9/21,-37.322101,142.041757,,,486014-20210816
REC SITES,25/9/21,2588,Long Lead Picnic Area,-37.584232,141.208527,MID,,NONE,"VicRoads Ref. 71 E3. Take the Casterton Penola Rd from Casterton. After approximately 17km, turn right onto Long Lead Track. After 500m take the track to the left and you will reach the Picnic Area.",,"Long Lead Picnic Area is set amongst stringybark forest, approximately 20 minutes from Casterton. There are BBQs, picnic tables; a picnic shelter and a toilet. Enjoy the peaceful surroundings whilst picnicking or taking a break from the road. You may be",CASTERTON,Long Lead Picnic Area,,eY,Y,,,,,,BBQ Facilities,None,,,0,,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,Y,"Long Lead Picnic Area is a tranquil spot nestled amongst stringybark forest, between Casterton and Penola. There is a toilet, picnic shelter, tables and BBQs. Spring visitors will experience a magnificent display of wildflowers.",1,,,0,,,0,,,0,,,0,,,0,,1,,,,,1,,120515,120516,120517,25/9/21,-37.584232,141.208527,,,487638-20210219
REC SITES,25/9/21,2616,Wail Site 1 Campsite,-36.511019,142.030389,VERY BASIC,,NONE,Vehicle access to Wail Site 1 Campsite  is from the Western Highway at Wail via Plantation Tk and Ironbark Tk.  Wail Site 1 Campsite is located on Wimmera Track near the intersection of Ironbark and Wimmera Tks. Wail 1 Campsite is approximately 9km west,,Wail Site 1 Campsite is situated on the banks of the Wimmera River and is surrounded by river redgum forest.  The site has basic camping facilities but no boat launching facilities.  Visitors to the site will enjoy the sounds and sites of local wildlife,HORSHAM NATIMUK RD,Wail Site 1 Campsite,WCU,,Y,,,,,,Fishing and BBQ,Camping and Campervan,Y,Located on the Wimmera River this site is easily accessible from Dimboola and Wail and has plenty of space for smaller and larger groups. there are numerous sites adjacent to the car parking areas.,1,Y,"Easily accessible from Dimboola or Wail, this site has ample space to set up a camper van or caravan. If the campsite is full, there are 5 other sites nearby to set up camp and enjoy the Wimmera River and surrounds.",SMALL CARAVAN,3,,,0,,,0,Y,This site provides access along the banks of the Wimmera River whereby the avid angler will find ample sites to wet a line.,4,,,0,,,0,,,0,,,0,Y,"Located on the banks of the Wimmera River. This site offers a relaxing spot for an over night stop, or for a day visit. Enjoy local bird life as you relax on the river bank and enjoy a pleasant walk along the river.",2,,,0,,,0,,,0,,,0,,,0,1,,,,,,1,,121406,121407,121408,25/9/21,-36.511019,142.030389,,,485943-20180424
REC SITES,25/9/21,2617,Wail Site 2 Campsite,-36.532919,142.02783,VERY BASIC,,NONE,Vehicle access to Wail Site 2 Campsite is from the Western Highway at Wail via Plantation Tk and Ironbark Tk.  From Wail via these tracks Wail 2 Campsite is approximately 12 km from Wail and 9 km south of Dimboola.,,Wail Site 2 Campsite is situated on Reedy Swamp also known locally as Barbours Swamp and is surrounded by native bush.  This site offers basic bush camping and a chance to sit back and relax with some bird and wildlife watching.,HORSHAM NATIMUK RD,Wail Site 2 Campsite,WCK,,Y,,,,,,None Allowed,Camping and Campervan,Y,"Located on the bank of Reedy Swamp, this site offers plenty of room for large and small groups with ample parking space.",1,Y,Reedy Swamp offers plenty of space to set up a caravan or campervan. Sit back and enjoy the local birdlife or wander along the bank of the swamp for a relaxing way to enjoy this natural setting.,SMALL CARAVAN,3,,,0,,,0,,,0,,,0,,,0,,,0,,,0,Y,"A natural setting on the bank of Reedy Swamp provides a very relaxing and natural setting in amongst the native bush. A terrific spot to sit and enjoy the local bird and wildlife for a day, or make use of the camping facilities and stay for the night.",2,,,0,,,0,,,0,,,0,Y,A natural bush setting on the bank of Reedy Swamp provides a terrific spot to partake in a spot of bird and wildlife watching. Easy access along the bank of the swamp provides opportunities to relocate and make the most of your stay. Picnic and camping f,0,,1,,,,,,,121409,121410,121411,25/9/21,-36.532919,142.02783,,,485944-20180424
REC SITES,25/9/21,2619,Wail Site 4 Campsite,-36.538666,142.015827,VERY BASIC,,NONE,Vehicle access to Wail Site 4 Campsite  is from the Western Highway at Wail via Plantation Tk and Ironbark Tk.  From Wail via these tracks Wail Site 4 Campsite is approximately 9 km from Wail.,,Wail Site 4 Campsite is situated on the banks of the Wimmera River and is surrounded by river redgum forest. The site has basic camping facilities but no boat launching facilities. Visitors to the site will enjoy the sounds and sites of local wildlife wh,HORSHAM NATIMUK RD,Wail Site 4 Campsite,WCU,,Y,,,,,,Fishing and BBQ,Camping and Campervan,Y,,1,Y,,SMALL CARAVAN,3,,,0,,,0,Y,,4,,,0,,,0,,,0,,,0,Y,,2,,,0,,,0,,,0,,,0,,,0,,,,,,,1,,121415,121416,121417,25/9/21,-36.538666,142.015827,,,485946-20180424
REC SITES,25/9/21,2621,Wail Site 5 Campsite,-36.544157,142.01304,VERY BASIC,,NONE,Vehicle access to Wail Site 5 Campsite  is from the Western Highway at Wail via Plantation Tk and Ironbark Tk.  From Wail via these tracks Wail Site 5 Campsite is approximately 10 km from Wail.,,Wail Site 5 Campsite is situated on the banks of the Wimmera River and is surrounded by river redgum forest. The site has basic camping facilities but no boat launching facilities. Visitors to the site will enjoy the sounds and sites of local wildlife wh,HORSHAM NATIMUK RD,Wail Site 5 Campsite,WU,,Y,,,,,,Fishing Allowed,Camping Only,Y,"Located next to the Wimmera River, this is a basic camping for self-contained campers.",1,,,,0,,,0,,,0,Y,,3,,,0,,,0,,,0,,,0,Y,,2,,,0,,,0,,,0,,,0,,,0,1,,,,,,,,121418,121419,121420,25/9/21,-36.544157,142.01304,,,485942-20180424
REC SITES,25/9/21,2622,Big Bend,-36.551551,142.012649,VERY BASIC,,NONE,"Big Bend is located in the south west corner of the Wail State Forest approximately 12 km south west of the township of Wail. Follow sign posted tracks off the Western Highway via Plantation Track, Ironbark Track and Wimmera Track.",,"Located on the Wimmera River south of Dimboola and South West of Wail in the Wail State Forest, Big Bend Picnic and Camping Area is surrounded by majestic river red gums and offers a peaceful recreation experience suiting the over night camper and or day",HORSHAM NATIMUK RD,Big Bend,WCU,,Y,,,,,,Fishing Allowed,Camping and Campervan,Y,Located on the Wimmera River this site is easily accessible from Dimboola and Wail and has plenty of space for smaller and larger groups.  There are numerous sites adjacent to the car parking areas.,1,Y,Located on the Wimmera River this site is easily accessible from Dimboola and Wail and has plenty of space to set up your camper van or caravan.,SMALL CARAVAN,3,,,0,,,0,Y,This site provides access along the banks of the Wimmera River whereby the avid angler will find ample sites to wet a line.,4,,,0,,,0,,,0,,,0,Y,Located on the Wimmera River and surrounded by majestic river red gums this site offers a peaceful recreation experience suiting the over night camper and or day visitor. Enjoy local bird life as you relax on the banks of the Wimmera River. Enjoy a pleas,2,,,0,,,0,,,0,,,0,,,0,1,,,,,,,,121385,121386,121387,25/9/21,-36.551551,142.012649,,,485947-20180424
REC SITES,25/9/21,2980,Big Billy Bore Day Visitor Area,-35.51598,141.317205,BASIC,,NONE,"Located in the Big Desert State Forest, 33 kms south of Murrayville. From Murrayville, head south along the Murrayville-Nhill Road. Vear left to stay on this road and follow until you reach the Camping Area
",,"Tour around the Big Desert and enjoy the remote and stark beauty of the outback countryside. The Big Billy Bore Day Visitor Area is a popular place to to break your drive, relax and have a picnic. Situated next to a low lying natural water soak, this sit",MILDURA CNR 11TH ST & KOORLONG AVE,Big Billy Bore Day Visitor Area,,U,Y,,,,,,BBQ Facilities,None,,,0,,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,Y,This site has very basic picnic facilities: picnic tables and BBQ facilities. Bore water is available from the storage tank but not suitable for drinking. Dont forget to fill out our Big Desert visitor book. This is a great way to see who has been visiti,1,,,0,,,0,,,0,,,0,,,0,,1,,,1,,,,122228,122229,122230,25/9/21,-35.51598,141.317205,,,506668-20200315
REC SITES,25/9/21,3022,Waterfall Picnic Area,-37.098549,143.367217,MID,,PARTIAL,"The Waterfall Picnic Area is located approximately 12 kms west of Avoca. Once in Avoca travel west along Vinoca Road (which turns into Waterfall Track) then on to the Waterfalls Picnic Area.
",,"For those seeking a picnic site in a relaxing forest setting, the Waterfalls Picnic Area is hard to beat, being easily accessible from Avoca, with toilets, picnic tables, fireplaces and a short walk available for day visitor use. The Pyrenees Ranges offe",AVOCA,Waterfall Picnic Area,W,UY,Y,,,,,,BBQ Facilities,Camping Only,Y,"A quiet secluded area to camp and observe more than 200 species of plants and over 100 bird species that have been recorded in the forest.  Toilets, picnic tables, fireplaces, a shelter and rainwater are  provided",1,,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,Y,"For those seeking a picnic site in a relaxing forest setting, the Waterfalls Picnic Area is hard to beat, being easily accessible from Avoca, with toilets, picnic tables and fireplaces. For those feeling fit, try out one of the Pyrenees walks that start",2,,,0,,,0,,,0,,,0,,,0,,1,,,,,1,,122381,122382,122383,25/9/21,-37.098549,143.367217,,,652278-20200511
REC SITES,25/9/21,3398,Hunts Bridge Picnic And Camping Area,-37.710121,144.094801,BASIC,,NONE,"From Elaine, head North East on the Elaine-Egerton Road for 9.7km to the Hunts Bridge site on your left hand side.",,"Located on the banks of the Moorabool River (West Branch) in a tranquil forest setting with farmland surrounds, this large open site provides basic camping and picnicking facilities but no toilets. The larger areas are on the western side of the Mooraboo",BALLARAT DEPOT (SEBASTOPOL),Hunts Bridge Picnic And Camping Area,WC,,Y,,,,,,BBQ Facilities,Camping and Campervan,Y,"There are upper and lower areas at this main site, both set well back from the quiet rural road. This open woodland site provides excellent vehicle based camping with plenty of room to find your own space, with full sun and shade options across the site.",1,Y,This site has good road access and ample space for small caravans and camper trailers.,SMALL CARAVAN,3,,,0,,,0,,,0,,,0,,,0,,,0,,,0,Y,This is a very relaxed site for a picnic and the drive to it will take you through some diverse and scenic rural landscapes. Plenty of space to picnic in a tranquil forest setting by the Moorabool River.,2,,,0,,,0,,,0,,,0,,,0,1,,,,1,,1,,121313,121314,121315,25/9/21,-37.710121,144.094801,,,476953-20201030
